path,classification,size,sha256,modified_time_low_trust,relevant_runner_task,potential_exposure_level,parsed_successfully
".venv/bin/Activate.ps1","untracked","9033","3795a060dea7d621320d6d841deb37591fadf7f5592c5cb2286f9867af0e91df","2026-07-13T06:46:12.297Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/activate","untracked","2124","6bb1efd328aec0d56b7e07b2812a4722dc40e74b7758e2fbcf68e81ab0783f2e","2026-07-13T06:46:12.297Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/activate.csh","untracked","965","08f91ff74a9f883a83eb6b2ad1abad76bcce016967687870869372831b746f40","2026-07-13T06:46:12.297Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/activate.fish","untracked","2240","53cd21288aebc5d0c514eea0fe1b3c17eff61fdbe9d8a888b2baa18371b72290","2026-07-13T06:46:12.297Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/f2py","untracked","279","805e2e27d38e42109db145fbc8f3d54729105e441e777a038a3e0d9767c2c99b","2026-07-13T06:47:50.401Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/isympy","untracked","268","f4cd6d2922c8c8adac5803e18f127999bd948e5723320645ad1429eb19e22cd2","2026-07-13T06:47:48.802Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/numpy-config","untracked","279","fe6da6f1718aef4eadc3ee11532bdf800b5bc0d7b84b6f9c805cee651a036bf3","2026-07-13T06:47:50.401Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/pip","untracked","284","6d5304b9304240d6b4e52b58376cbc0c9c13d137c8eba6be953b15bbcc843a05","2026-07-13T06:46:12.154Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/pip3","untracked","284","6d5304b9304240d6b4e52b58376cbc0c9c13d137c8eba6be953b15bbcc843a05","2026-07-13T06:46:12.154Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/pip3.12","untracked","284","6d5304b9304240d6b4e52b58376cbc0c9c13d137c8eba6be953b15bbcc843a05","2026-07-13T06:46:12.154Z","UNCLASSIFIED","UNKNOWN",""
".venv/bin/z3","untracked","23955920","a06c2a851d58c5f5a7c1e5de188fd0e1b1135e778112aee83ffd1a433685516b","2026-07-13T06:47:43.809Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/__pycache__/isympy.cpython-312.pyc","untracked","11066","1dfa79633dc39c7cc60889ca5dcfe0e1548bfb13eeef8221a79797c34fe96da6","2026-07-13T06:47:44.651Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/isympy.py","untracked","11220","85a100adccdbfcdcbe2f28ce0b0c7614d19a97f4b4328e1dd1d7a258bda0fc67","2026-07-13T06:47:44.343Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath-1.3.0.dist-info/INSTALLER","untracked","4","ceebae7b8927a3227e5303cf5e0f1f7b34bb542ad7250ac03fbcde36ec2f1508","2026-07-13T06:47:44.317Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath-1.3.0.dist-info/LICENSE","untracked","1537","c26cae81da4508e5e249985777a33821f183223ebb74d7f8cfbf90fe7eef2fb7","2026-07-13T06:47:44.001Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath-1.3.0.dist-info/METADATA","untracked","8630","44b66ea444b9c0d19ae94815d356bf047ae6b680c19268b5c265687cd6a81406","2026-07-13T06:47:44.001Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath-1.3.0.dist-info/RECORD","untracked","12686","89869bb99d259b6078aa20ebadb44d921aa20595ffa58ab929e3082d7f3f5529","2026-07-13T06:47:44.326Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath-1.3.0.dist-info/WHEEL","untracked","92","db07a93359e4e034b8785a58ad6d534ea3dca0635f1e184efe2e66e1c3a299ba","2026-07-13T06:47:44.001Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath-1.3.0.dist-info/top_level.txt","untracked","7","054556ae1f0456590e84cd67dd7f52f26b13695702fb7b3a4a3b7ad1abc762eb","2026-07-13T06:47:44.001Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__init__.py","untracked","8765","b241584d2c1fc0304b0a1015ea923749d7b0800411dd406dcab7c82bf25d9fe8","2026-07-13T06:47:43.985Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/__init__.cpython-312.pyc","untracked","18845","391d5de7e44a7f701c2d34bd7e65b2b3f92dcf074c68d3a54f9c9eb6968a8ce9","2026-07-13T06:47:44.005Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/ctx_base.cpython-312.pyc","untracked","22221","d38634b8638db8836abd3f62b575be0c74983519a1ba62c52499f5dc96e177ec","2026-07-13T06:47:44.027Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/ctx_fp.cpython-312.pyc","untracked","12007","cd84a8f504450f735197bb409caf790b492dab64a3a1c02f9250bb2114ef5964","2026-07-13T06:47:44.031Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/ctx_iv.cpython-312.pyc","untracked","36782","3ba040986fec2660e2b2a856e3a43b46f725945128ab96342f9802a33c7ea3a0","2026-07-13T06:47:44.031Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/ctx_mp.cpython-312.pyc","untracked","67370","33387d29bcffd5e683b3b9bae9d7c932035f9dda86adc0d65d2036dacd38768d","2026-07-13T06:47:44.036Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/ctx_mp_python.cpython-312.pyc","untracked","55843","a27a948d14868e64d1dc58f090a13593e9cf9a7aeba4a9318a78033db9628fa8","2026-07-13T06:47:44.040Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/function_docs.cpython-312.pyc","untracked","284971","98f30b966f3fc62c0fe4571a2e29be508ceb1837bb302b9ac1c23ea61cdbf923","2026-07-13T06:47:44.044Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/identification.cpython-312.pyc","untracked","36948","8dadbb94f9629bdce41f20aaab488127568a9f19fe3e243827329b4014e804db","2026-07-13T06:47:44.122Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/math2.cpython-312.pyc","untracked","26261","2c804f687e3b3d46a04cb591aa8730430bb847f264a50338b3804633100eaa84","2026-07-13T06:47:44.196Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/rational.cpython-312.pyc","untracked","9744","159e858b041a7d1bd8736a4f02e4cf5ae5dbe961aef56e1a32094243b4ef8fd0","2026-07-13T06:47:44.218Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/usertools.cpython-312.pyc","untracked","4375","9228a3624d8b8ecccc17a797a716442b0b9ecadcb69cdb1dd447588853306496","2026-07-13T06:47:44.313Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/__pycache__/visualization.cpython-312.pyc","untracked","14293","c3939a55d6990d47c2f3d1c46008db71424b7b39039ece715e07aa483aaaa229","2026-07-13T06:47:44.317Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__init__.py","untracked","162","500802209d5899a7b24eaa4dce306509919e2332ed51930412997df5558d8eeb","2026-07-13T06:47:43.989Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/__init__.cpython-312.pyc","untracked","405","881d1f41fa1a42b54e947d25d59d4a62aee7b6d91b15df8039f06e96e8433503","2026-07-13T06:47:44.005Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/approximation.cpython-312.pyc","untracked","11707","dca95cd6cd604e0683cbcdfc3761888d37605167bd610f2d80e111915f3101e8","2026-07-13T06:47:44.005Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/calculus.cpython-312.pyc","untracked","601","3d305a6e7ad459ce8f7c4d6f8855304778140657a31f22ff81e12fafd226aa29","2026-07-13T06:47:44.005Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/differentiation.cpython-312.pyc","untracked","26058","479c701dd5ec2ba2aa04c226b6dfdca25da4002e797671e63f771cf4fbe55da0","2026-07-13T06:47:44.005Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/extrapolation.cpython-312.pyc","untracked","85922","4866ccee90248e8a1b128d21998f66ac5dff24f3e049930e224b3a57ff657e09","2026-07-13T06:47:44.014Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/inverselaplace.cpython-312.pyc","untracked","41582","0cdacd59fdf104df9247c9a27d9166da7cbbda1bc12493cef1b86e425706b31d","2026-07-13T06:47:44.014Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/odes.cpython-312.pyc","untracked","11984","6e8c814f23328ed30eb4a7ef1c258cafd1a83e3c24b567027881cd299433f844","2026-07-13T06:47:44.018Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/optimization.cpython-312.pyc","untracked","39783","cb35880467805933030d176611c7f2efa4233074539e133c470f3f4dfef1f148","2026-07-13T06:47:44.018Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/polynomials.cpython-312.pyc","untracked","9347","e75cb7ded081dbfdf84b52f5c725d8e0d719f97b2ee6ec991daa9c115df8cbf1","2026-07-13T06:47:44.023Z","UNCLASSIFIED","UNKNOWN",""
".venv/lib/python3.12/site-packages/mpmath/calculus/__pycache__/quadrature.cpython-312.pyc","untracked","48660","101f97eb8b11284b73d68fa75230704f635b73cf66f7637a9b7eba28443340c8","2026-07-13T06:47:44.027Z","UNCLASSIFIED","UNKNOWN",""
